Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG2_NE/200529COVID19MEXICO_REG2_NE_HOSP.csv,200529COVID19MEXICO,873,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG2_NE/200530COVID19MEXICO_REG2_NE_AMB.csv,200530COVID19MEXICO,4322,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG2_NE/200530COVID19MEXICO_REG2_NE_HOSP.csv,200530COVID19MEXICO,935,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG2_NE/200531COVID19MEXICO_REG2_NE_AMB.csv,200531COVID19MEXICO,4429,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG2_NE/200531COVID19MEXICO_REG2_NE_HOSP.csv,200531COVID19MEXICO,946,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG2_NE/200601COVID19MEXICO_REG2_NE_AMB.csv,200601COVID19MEXICO,4585,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG2_NE/200601COVID19MEXICO_REG2_NE_HOSP.csv,200601COVID19MEXICO,987,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG2_NE/200602COVID19MEXICO_REG2_NE_AMB.csv,200602COVID19MEXICO,4794,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG2_NE/200602COVID19MEXICO_REG2_NE_HOSP.csv,200602COVID19MEXICO,1022,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG2_NE/200603COVID19MEXICO_REG2_NE_AMB.csv,200603COVID19MEXICO,5085,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG2_NE/200603COVID19MEXICO_REG2_NE_HOSP.csv,200603COVID19MEXICO,1084,
C:/datos_covid_salida/200604COVID19MEXICO/200604COVID19MEXICO_REG2_NE/200604COVID19MEXICO_REG2_NE_AMB.csv,200604COVID19MEXICO,5340,
