Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG5_SE/200513COVID19MEXICO_REG5_SE_AMB.csv,200513COVID19MEXICO,3900,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG5_SE/200513COVID19MEXICO_REG5_SE_HOSP.csv,200513COVID19MEXICO,2718,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG5_SE/200514COVID19MEXICO_REG5_SE_AMB.csv,200514COVID19MEXICO,4177,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG5_SE/200514COVID19MEXICO_REG5_SE_HOSP.csv,200514COVID19MEXICO,2835,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG5_SE/200515COVID19MEXICO_REG5_SE_AMB.csv,200515COVID19MEXICO,4393,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG5_SE/200515COVID19MEXICO_REG5_SE_HOSP.csv,200515COVID19MEXICO,2948,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG5_SE/200516COVID19MEXICO_REG5_SE_AMB.csv,200516COVID19MEXICO,4653,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG5_SE/200516COVID19MEXICO_REG5_SE_HOSP.csv,200516COVID19MEXICO,3090,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG5_SE/200517COVID19MEXICO_REG5_SE_AMB.csv,200517COVID19MEXICO,4923,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG5_SE/200517COVID19MEXICO_REG5_SE_HOSP.csv,200517COVID19MEXICO,3205,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG5_SE/200518COVID19MEXICO_REG5_SE_AMB.csv,200518COVID19MEXICO,5265,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG5_SE/200518COVID19MEXICO_REG5_SE_HOSP.csv,200518COVID19MEXICO,3357,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG5_SE/200519COVID19MEXICO_REG5_SE_AMB.csv,200519COVID19MEXICO,5612,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG5_SE/200519COVID19MEXICO_REG5_SE_HOSP.csv,200519COVID19MEXICO,3484,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG5_SE/200520COVID19MEXICO_REG5_SE_AMB.csv,200520COVID19MEXICO,5893,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG5_SE/200520COVID19MEXICO_REG5_SE_HOSP.csv,200520COVID19MEXICO,3626,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG5_SE/200521COVID19MEXICO_REG5_SE_AMB.csv,200521COVID19MEXICO,6282,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG5_SE/200521COVID19MEXICO_REG5_SE_HOSP.csv,200521COVID19MEXICO,3802,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG5_SE/200522COVID19MEXICO_REG5_SE_AMB.csv,200522COVID19MEXICO,6731,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG5_SE/200522COVID19MEXICO_REG5_SE_HOSP.csv,200522COVID19MEXICO,3946,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG5_SE/200523COVID19MEXICO_REG5_SE_AMB.csv,200523COVID19MEXICO,7083,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG5_SE/200523COVID19MEXICO_REG5_SE_HOSP.csv,200523COVID19MEXICO,4069,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG5_SE/200524COVID19MEXICO_REG5_SE_AMB.csv,200524COVID19MEXICO,7374,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG5_SE/200524COVID19MEXICO_REG5_SE_HOSP.csv,200524COVID19MEXICO,4233,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG5_SE/200525COVID19MEXICO_REG5_SE_AMB.csv,200525COVID19MEXICO,7674,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG5_SE/200525COVID19MEXICO_REG5_SE_HOSP.csv,200525COVID19MEXICO,4406,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG5_SE/200526COVID19MEXICO_REG5_SE_AMB.csv,200526COVID19MEXICO,8079,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG5_SE/200526COVID19MEXICO_REG5_SE_HOSP.csv,200526COVID19MEXICO,4639,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG5_SE/200527COVID19MEXICO_REG5_SE_AMB.csv,200527COVID19MEXICO,8441,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG5_SE/200527COVID19MEXICO_REG5_SE_HOSP.csv,200527COVID19MEXICO,4780,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG5_SE/200528COVID19MEXICO_REG5_SE_AMB.csv,200528COVID19MEXICO,8815,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG5_SE/200528COVID19MEXICO_REG5_SE_HOSP.csv,200528COVID19MEXICO,4943,
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG5_SE/200529COVID19MEXICO_REG5_SE_AMB.csv,200529COVID19MEXICO,9204,
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG5_SE/200529COVID19MEXICO_REG5_SE_HOSP.csv,200529COVID19MEXICO,5093,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG5_SE/200530COVID19MEXICO_REG5_SE_AMB.csv,200530COVID19MEXICO,9600,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG5_SE/200530COVID19MEXICO_REG5_SE_HOSP.csv,200530COVID19MEXICO,5261,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG5_SE/200531COVID19MEXICO_REG5_SE_AMB.csv,200531COVID19MEXICO,10050,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG5_SE/200531COVID19MEXICO_REG5_SE_HOSP.csv,200531COVID19MEXICO,5381,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG5_SE/200601COVID19MEXICO_REG5_SE_AMB.csv,200601COVID19MEXICO,10541,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG5_SE/200601COVID19MEXICO_REG5_SE_HOSP.csv,200601COVID19MEXICO,5627,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG5_SE/200602COVID19MEXICO_REG5_SE_AMB.csv,200602COVID19MEXICO,11138,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG5_SE/200602COVID19MEXICO_REG5_SE_HOSP.csv,200602COVID19MEXICO,5905,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG5_SE/200603COVID19MEXICO_REG5_SE_AMB.csv,200603COVID19MEXICO,11515,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG5_SE/200603COVID19MEXICO_REG5_SE_HOSP.csv,200603COVID19MEXICO,6075,
C:/datos_covid_salida/200604COVID19MEXICO/200604COVID19MEXICO_REG5_SE/200604COVID19MEXICO_REG5_SE_AMB.csv,200604COVID19MEXICO,12097,
C:/datos_covid_salida/200604COVID19MEXICO/200604COVID19MEXICO_REG5_SE/200604COVID19MEXICO_REG5_SE_HOSP.csv,200604COVID19MEXICO,6290,
C:/datos_covid_salida/200605COVID19MEXICO/200605COVID19MEXICO_REG5_SE/200605COVID19MEXICO_REG5_SE_AMB.csv,200605COVID19MEXICO,12602,
C:/datos_covid_salida/200605COVID19MEXICO/200605COVID19MEXICO_REG5_SE/200605COVID19MEXICO_REG5_SE_HOSP.csv,200605COVID19MEXICO,6483,
C:/datos_covid_salida/200606COVID19MEXICO/200606COVID19MEXICO_REG5_SE/200606COVID19MEXICO_REG5_SE_AMB.csv,200606COVID19MEXICO,13185,
C:/datos_covid_salida/200606COVID19MEXICO/200606COVID19MEXICO_REG5_SE/200606COVID19MEXICO_REG5_SE_HOSP.csv,200606COVID19MEXICO,6682,
C:/datos_covid_salida/200607COVID19MEXICO/200607COVID19MEXICO_REG5_SE/200607COVID19MEXICO_REG5_SE_AMB.csv,200607COVID19MEXICO,13649,
C:/datos_covid_salida/200607COVID19MEXICO/200607COVID19MEXICO_REG5_SE/200607COVID19MEXICO_REG5_SE_HOSP.csv,200607COVID19MEXICO,6847,
C:/datos_covid_salida/200608COVID19MEXICO/200608COVID19MEXICO_REG5_SE/200608COVID19MEXICO_REG5_SE_AMB.csv,200608COVID19MEXICO,14029,
C:/datos_covid_salida/200608COVID19MEXICO/200608COVID19MEXICO_REG5_SE/200608COVID19MEXICO_REG5_SE_HOSP.csv,200608COVID19MEXICO,6996,
C:/datos_covid_salida/200609COVID19MEXICO/200609COVID19MEXICO_REG5_SE/200609COVID19MEXICO_REG5_SE_AMB.csv,200609COVID19MEXICO,14484,
C:/datos_covid_salida/200609COVID19MEXICO/200609COVID19MEXICO_REG5_SE/200609COVID19MEXICO_REG5_SE_HOSP.csv,200609COVID19MEXICO,7210,
C:/datos_covid_salida/200610COVID19MEXICO/200610COVID19MEXICO_REG5_SE/200610COVID19MEXICO_REG5_SE_AMB.csv,200610COVID19MEXICO,15034,
C:/datos_covid_salida/200610COVID19MEXICO/200610COVID19MEXICO_REG5_SE/200610COVID19MEXICO_REG5_SE_HOSP.csv,200610COVID19MEXICO,7402,
C:/datos_covid_salida/200611COVID19MEXICO/200611COVID19MEXICO_REG5_SE/200611COVID19MEXICO_REG5_SE_AMB.csv,200611COVID19MEXICO,15522,
C:/datos_covid_salida/200611COVID19MEXICO/200611COVID19MEXICO_REG5_SE/200611COVID19MEXICO_REG5_SE_HOSP.csv,200611COVID19MEXICO,7553,
C:/datos_covid_salida/200612COVID19MEXICO/200612COVID19MEXICO_REG5_SE/200612COVID19MEXICO_REG5_SE_AMB.csv,200612COVID19MEXICO,16207,
C:/datos_covid_salida/200612COVID19MEXICO/200612COVID19MEXICO_REG5_SE/200612COVID19MEXICO_REG5_SE_HOSP.csv,200612COVID19MEXICO,7839,
C:/datos_covid_salida/200613COVID19MEXICO/200613COVID19MEXICO_REG5_SE/200613COVID19MEXICO_REG5_SE_AMB.csv,200613COVID19MEXICO,16679,
C:/datos_covid_salida/200613COVID19MEXICO/200613COVID19MEXICO_REG5_SE/200613COVID19MEXICO_REG5_SE_HOSP.csv,200613COVID19MEXICO,8019,
C:/datos_covid_salida/200614COVID19MEXICO/200614COVID19MEXICO_REG5_SE/200614COVID19MEXICO_REG5_SE_AMB.csv,200614COVID19MEXICO,17292,
C:/datos_covid_salida/200614COVID19MEXICO/200614COVID19MEXICO_REG5_SE/200614COVID19MEXICO_REG5_SE_HOSP.csv,200614COVID19MEXICO,8287,
C:/datos_covid_salida/200615COVID19MEXICO/200615COVID19MEXICO_REG5_SE/200615COVID19MEXICO_REG5_SE_AMB.csv,200615COVID19MEXICO,17823,
